"co_anomes,""co_ibge"",""vl_indicador_calculado_mun"",""co_uf"",""no_municipio"",""sg_uf"",""no_uf"",""co_regiao_brasil"",""no_regiao_brasil"",""sg_regiao_brasil"",""co_regiao_saude"",""no_regiao_saude"",""no_macro"",""co_macro"",""vl_indicador_calculado_rs"",""vl_indicador_calculado_ms"",""vl_indicador_calculado_uf"",""vl_indicador_calculado_reg"",""vl_indicador_calculado_br"",""vl_indicador_calculado_al"",""dt_competencia"",""dt_atualizacao"",""ds_unidade_medida"",""sg_granularidade"",""ds_granularidade"""
"202601,110001,0.0,11,""Alta Floresta D'Oeste"",""RO"",""RondÙnia"",1,""Norte"",""N"",11005,""Zona da Mata"",""Macrorregional II(Cacoal)"",1101,0.0,0.0,43.06,76.75,88.73,72.16,""2026-01-01 12:00:00"",""2026-03-17 05:56:29"",""Percentual"",""MN"",""MunicÌpio"""
"202601,110002,100.0,11,""Ariquemes"",""RO"",""RondÙnia"",1,""Norte"",""N"",11001,""Vale do Jamari"",""Macrorregi„o I - Porto Velho"",1102,100.0,80.17,43.06,76.75,88.73,72.16,""2026-01-01 12:00:00"",""2026-03-17 05:56:29"",""Percentual"",""MN"",""MunicÌpio"""
"202601,110003,0.0,11,""Cabixi"",""RO"",""RondÙnia"",1,""Norte"",""N"",11006,""Cone Sul"",""Macrorregional II(Cacoal)"",1101,0.0,0.0,43.06,76.75,88.73,72.16,""2026-01-01 12:00:00"",""2026-03-17 05:56:29"",""Percentual"",""MN"",""MunicÌpio"""
"202601,110004,0.0,11,""Cacoal"",""RO"",""RondÙnia"",1,""Norte"",""N"",11002,""CafÈ"",""Macrorregional II(Cacoal)"",1101,0.0,0.0,43.06,76.75,88.73,72.16,""2026-01-01 12:00:00"",""2026-03-17 05:56:29"",""Percentual"",""MN"",""MunicÌpio"""
"202601,110005,0.0,11,""Cerejeiras"",""RO"",""RondÙnia"",1,""Norte"",""N"",11006,""Cone Sul"",""Macrorregional II(Cacoal)"",1101,0.0,0.0,43.06,76.75,88.73,72.16,""2026-01-01 12:00:00"",""2026-03-17 05:56:29"",""Percentual"",""MN"",""MunicÌpio"""
"202601,110006,0.0,11,""Colorado do Oeste"",""RO"",""RondÙnia"",1,""Norte"",""N"",11006,""Cone Sul"",""Macrorregional II(Cacoal)"",1101,0.0,0.0,43.06,76.75,88.73,72.16,""2026-01-01 12:00:00"",""2026-03-17 05:56:29"",""Percentual"",""MN"",""MunicÌpio"""
"202601,110007,0.0,11,""Corumbiara"",""RO"",""RondÙnia"",1,""Norte"",""N"",11006,""Cone Sul"",""Macrorregional II(Cacoal)"",1101,0.0,0.0,43.06,76.75,88.73,72.16,""2026-01-01 12:00:00"",""2026-03-17 05:56:29"",""Percentual"",""MN"",""MunicÌpio"""
"202601,110008,0.0,11,""Costa Marques"",""RO"",""RondÙnia"",1,""Norte"",""N"",11007,""Vale do GuaporÈ"",""Macrorregional II(Cacoal)"",1101,0.0,0.0,43.06,76.75,88.73,72.16,""2026-01-01 12:00:00"",""2026-03-17 05:56:29"",""Percentual"",""MN"",""MunicÌpio"""
"202601,110009,0.0,11,""Espig„o D'Oeste"",""RO"",""RondÙnia"",1,""Norte"",""N"",11002,""CafÈ"",""Macrorregional II(Cacoal)"",1101,0.0,0.0,43.06,76.75,88.73,72.16,""2026-01-01 12:00:00"",""2026-03-17 05:56:29"",""Percentual"",""MN"",""MunicÌpio"""
"202601,110010,0.0,11,""Guajar·-Mirim"",""RO"",""RondÙnia"",1,""Norte"",""N"",11004,""Madeira-MamorÈ"",""Macrorregi„o I - Porto Velho"",1102,83.03,80.17,43.06,76.75,88.73,72.16,""2026-01-01 12:00:00"",""2026-03-17 05:56:29"",""Percentual"",""MN"",""MunicÌpio"""
"202601,110011,0.0,11,""Jaru"",""RO"",""RondÙnia"",1,""Norte"",""N"",11003,""Central"",""Macrorregi„o I - Porto Velho"",1102,0.0,80.17,43.06,76.75,88.73,72.16,""2026-01-01 12:00:00"",""2026-03-17 05:56:29"",""Percentual"",""MN"",""MunicÌpio"""
"202601,110012,0.0,11,""Ji-Paran·"",""RO"",""RondÙnia"",1,""Norte"",""N"",11003,""Central"",""Macrorregional II(Cacoal)"",1101,0.0,0.0,43.06,76.75,88.73,72.16,""2026-01-01 12:00:00"",""2026-03-17 05:56:29"",""Percentual"",""MN"",""MunicÌpio"""
"202601,110013,100.0,11,""Machadinho D'Oeste"",""RO"",""RondÙnia"",1,""Norte"",""N"",11001,""Vale do Jamari"",""Macrorregi„o I - Porto Velho"",1102,100.0,80.17,43.06,76.75,88.73,72.16,""2026-01-01 12:00:00"",""2026-03-17 05:56:29"",""Percentual"",""MN"",""MunicÌpio"""
"202601,110014,0.0,11,""Nova Brasil‚ndia D'Oeste"",""RO"",""RondÙnia"",1,""Norte"",""N"",11005,""Zona da Mata"",""Macrorregional II(Cacoal)"",1101,0.0,0.0,43.06,76.75,88.73,72.16,""2026-01-01 12:00:00"",""2026-03-17 05:56:29"",""Percentual"",""MN"",""MunicÌpio"""
"202601,110015,0.0,11,""Ouro Preto do Oeste"",""RO"",""RondÙnia"",1,""Norte"",""N"",11003,""Central"",""Macrorregional II(Cacoal)"",1101,0.0,0.0,43.06,76.75,88.73,72.16,""2026-01-01 12:00:00"",""2026-03-17 05:56:29"",""Percentual"",""MN"",""MunicÌpio"""
"202601,110018,0.0,11,""Pimenta Bueno"",""RO"",""RondÙnia"",1,""Norte"",""N"",11002,""CafÈ"",""Macrorregional II(Cacoal)"",1101,0.0,0.0,43.06,76.75,88.73,72.16,""2026-01-01 12:00:00"",""2026-03-17 05:56:29"",""Percentual"",""MN"",""MunicÌpio"""
"202601,110020,100.0,11,""Porto Velho"",""RO"",""RondÙnia"",1,""Norte"",""N"",11004,""Madeira-MamorÈ"",""Macrorregi„o I - Porto Velho"",1102,83.03,80.17,43.06,76.75,88.73,72.16,""2026-01-01 12:00:00"",""2026-03-17 05:56:29"",""Percentual"",""MN"",""MunicÌpio"""
"202601,110025,0.0,11,""Presidente MÈdici"",""RO"",""RondÙnia"",1,""Norte"",""N"",11003,""Central"",""Macrorregional II(Cacoal)"",1101,0.0,0.0,43.06,76.75,88.73,72.16,""2026-01-01 12:00:00"",""2026-03-17 05:56:29"",""Percentual"",""MN"",""MunicÌpio"""
"202601,110026,100.0,11,""Rio Crespo"",""RO"",""RondÙnia"",1,""Norte"",""N"",11001,""Vale do Jamari"",""Macrorregi„o I - Porto Velho"",1102,100.0,80.17,43.06,76.75,88.73,72.16,""2026-01-01 12:00:00"",""2026-03-17 05:56:29"",""Percentual"",""MN"",""MunicÌpio"""
"202601,110028,0.0,11,""Rolim de Moura"",""RO"",""RondÙnia"",1,""Norte"",""N"",11005,""Zona da Mata"",""Macrorregional II(Cacoal)"",1101,0.0,0.0,43.06,76.75,88.73,72.16,""2026-01-01 12:00:00"",""2026-03-17 05:56:29"",""Percentual"",""MN"",""MunicÌpio"""
"202601,110029,0.0,11,""Santa Luzia D'Oeste"",""RO"",""RondÙnia"",1,""Norte"",""N"",11005,""Zona da Mata"",""Macrorregional II(Cacoal)"",1101,0.0,0.0,43.06,76.75,88.73,72.16,""2026-01-01 12:00:00"",""2026-03-17 05:56:29"",""Percentual"",""MN"",""MunicÌpio"""
"202601,110030,0.0,11,""Vilhena"",""RO"",""RondÙnia"",1,""Norte"",""N"",11006,""Cone Sul"",""Macrorregional II(Cacoal)"",1101,0.0,0.0,43.06,76.75,88.73,72.16,""2026-01-01 12:00:00"",""2026-03-17 05:56:29"",""Percentual"",""MN"",""MunicÌpio"""
"202601,110032,0.0,11,""S„o Miguel do GuaporÈ"",""RO"",""RondÙnia"",1,""Norte"",""N"",11003,""Central"",""Macrorregional II(Cacoal)"",1101,0.0,0.0,43.06,76.75,88.73,72.16,""2026-01-01 12:00:00"",""2026-03-17 05:56:29"",""Percentual"",""MN"",""MunicÌpio"""
"202601,110033,0.0,11,""Nova MamorÈ"",""RO"",""RondÙnia"",1,""Norte"",""N"",11004,""Madeira-MamorÈ"",""Macrorregi„o I - Porto Velho"",1102,83.03,80.17,43.06,76.75,88.73,72.16,""2026-01-01 12:00:00"",""2026-03-17 05:56:29"",""Percentual"",""MN"",""MunicÌpio"""
"202601,110034,0.0,11,""Alvorada D'Oeste"",""RO"",""RondÙnia"",1,""Norte"",""N"",11003,""Central"",""Macrorregional II(Cacoal)"",1101,0.0,0.0,43.06,76.75,88.73,72.16,""2026-01-01 12:00:00"",""2026-03-17 05:56:29"",""Percentual"",""MN"",""MunicÌpio"""
"202601,110037,0.0,11,""Alto Alegre dos Parecis"",""RO"",""RondÙnia"",1,""Norte"",""N"",11005,""Zona da Mata"",""Macrorregional II(Cacoal)"",1101,0.0,0.0,43.06,76.75,88.73,72.16,""2026-01-01 12:00:00"",""2026-03-17 05:56:29"",""Percentual"",""MN"",""MunicÌpio"""
"202601,110040,100.0,11,""Alto ParaÌso"",""RO"",""RondÙnia"",1,""Norte"",""N"",11001,""Vale do Jamari"",""Macrorregi„o I - Porto Velho"",1102,100.0,80.17,43.06,76.75,88.73,72.16,""2026-01-01 12:00:00"",""2026-03-17 05:56:29"",""Percentual"",""MN"",""MunicÌpio"""
"202601,110045,100.0,11,""Buritis"",""RO"",""RondÙnia"",1,""Norte"",""N"",11001,""Vale do Jamari"",""Macrorregi„o I - Porto Velho"",1102,100.0,80.17,43.06,76.75,88.73,72.16,""2026-01-01 12:00:00"",""2026-03-17 05:56:29"",""Percentual"",""MN"",""MunicÌpio"""
